book_id,question_text,option_a,option_b,option_c,option_d,correct_answer,reference
1,"Apakah yang dilambangkan oleh domba yang disediakan Allah sebagai ganti Ishak dalam Kejadian 22:13?","Yesus sebagai korban ganti","Kekayaan Abraham","Kuasa Allah","Hukuman Allah","A","Genesis 22:13"
1,"Bagaimana Kejadian 1:1 berkaitan dengan soalan pertama Westminster Shorter Catechism?","Manusia dicipta untuk memuliakan Allah","Allah mencipta segalanya","Manusia berdosa","Allah menghukum dunia","A","Genesis 1:1"
1,"Apakah yang ditunjukkan oleh perpisahan antara Abram dan Lot dalam Kejadian 13?","Ketaatan kepada Allah","Konflik kerana dosa","Kebutuhan untuk harta","Kekuatan iman","B","Genesis 13:7-12"
1,"Apakah yang ditunjukkan oleh perjanjian Allah dengan Abraham dalam Kejadian 15 menurut teologi Reformed?","Allah setia pada janji-Nya","Manusia harus bekerja keras","Abraham lebih suci","Tiada perjanjian sebenar","A","Genesis 15:18"
1,"Apakah yang ditunjukkan oleh kelahiran Ishak dalam Kejadian 21 menurut Westminster Larger Catechism?","Keajaiban Allah","Kuasa manusia","Ketidaktaatan Sara","Tiada makna","A","Genesis 21:1-3"
1,"Bagaimana Kejadian 3:19 berkaitan dengan kematian menurut Westminster Confession of Faith?","Kematian adalah hukuman dosa","Kematian adalah semula jadi","Kematian tiada kaitan dengan dosa","Kematian boleh dielakkan","A","Genesis 3:19"
1,"Apakah yang ditunjukkan oleh tangga dalam mimpi Yakub di Betel (Kejadian 28:12)?","Yesus sebagai pengantara","Kekayaan Yakub","Kuasa malaikat","Tiada makna","A","Genesis 28:12"
1,"Apakah yang ditunjukkan oleh hak kesulungan yang Esaul jual kepada Yakub dalam Kejadian 25:29-34?","Esaul menghormati Yakub","Esaul tidak menghargai berkat rohani","Yakub menipu Esaul","Tiada makna","B","Genesis 25:29-34"
1,"Apakah yang ditunjukkan oleh penipuan Yakub terhadap Ishak dalam Kejadian 27 menurut teologi Reformed?","Dosa Yakub","Kuasa Allah dalam rancangan-Nya","Kedua-duanya","Tiada dosa","C","Genesis 27:18-29"
1,"Bagaimana Kejadian 12:1-3 berkaitan dengan perjanjian anugerah menurut Westminster Confession of Faith?","Allah memilih Abraham untuk berkat semua bangsa","Abraham dipilih kerana kebaikannya","Tiada perjanjian","Allah menghukum Abraham","A","Genesis 12:1-3"
1,"Apakah yang ditunjukkan oleh pelangi dalam Kejadian 9:13 menurut pandangan Reformed?","Tanda perjanjian Allah","Tanda keindahan alam","Tanda hukuman","Tanda banjir","A","Genesis 9:13"
1,"Apakah yang ditunjukkan oleh kejatuhan Adam dan Hawa dalam Kejadian 3 menurut Westminster Shorter Catechism?","Dosa asal yang mempengaruhi semua manusia","Manusia boleh selamat sendiri","Tiada dosa","Allah tidak adil","A","Genesis 3:6"
1,"Apakah yang ditunjukkan oleh penciptaan pada hari ketujuh dalam Kejadian 2:2-3?","Allah berehat dan menetapkan hari Sabat","Allah berhenti mencipta","Allah mencipta malaikat","Tiada makna","A","Genesis 2:2-3"
1,"Apakah yang ditunjukkan oleh kutukan kepada Kanaan dalam Kejadian 9:25?","Akibat dosa Ham","Keadilan Allah","Kedua-duanya","Tiada makna","C","Genesis 9:25"
1,"Apakah yang ditunjukkan oleh penolakan Kain oleh Allah dalam Kejadian 4:5?","Kain tidak memberikan yang terbaik","Kain tidak bertaubat","Kedua-duanya","Tiada sebab","C","Genesis 4:5"
1,"Apakah yang ditunjukkan oleh kehidupan Henokh dalam Kejadian 5:24 menurut Westminster Larger Catechism?","Iman yang menyenangkan Allah","Kehidupan tanpa dosa","Kuasa manusia","Tiada makna","A","Genesis 5:24"
1,"Apakah yang ditunjukkan oleh pemberian jubah berwarna-warni kepada Yusuf dalam Kejadian 37:3?","Kasih Yakub kepada Yusuf","Kebanggaan Yusuf","Kedua-duanya","Tiada makna","C","Genesis 37:3"
1,"Apakah yang ditunjukkan oleh penjualan Yusuf oleh adik-beradiknya dalam Kejadian 37:28?","Dosa iri hati","Penyelamatan Allah melalui Yusuf","Kedua-duanya","Tiada dosa","C","Genesis 37:28"
1,"Apakah yang ditunjukkan oleh kelaparan di Kanaan dalam Kejadian 12:10?","Ujian iman Abram","Kekurangan harta","Tiada makna","Hukuman Allah","A","Genesis 12:10"
1,"Apakah yang ditunjukkan oleh kelahiran Ismael dalam Kejadian 16 menurut Westminster Confession of Faith?","Ketidaksabaran manusia","Kuasa Allah","Tiada makna","Hukuman kepada Hagar","A","Genesis 16:15"
1,"Apakah yang ditunjukkan oleh perjumpaan Abraham dengan Melkisedek dalam Kejadian 14:18-20?","Yesus sebagai Imam Besar","Kekayaan Abraham","Kuasa Melkisedek","Tiada makna","A","Genesis 14:18-20"
1,"Bagaimana Kejadian 1:26-27 berkaitan dengan soalan kedua Westminster Shorter Catechism?","Allah mencipta manusia menurut gambar-Nya","Manusia berdosa","Allah menghukum manusia","Tiada kaitan","A","Genesis 1:26-27"
1,"Apakah yang ditunjukkan oleh pembunuhan Abel oleh Kain dalam Kejadian 4:8?","Dosa iri hati","Kekurangan iman","Kedua-duanya","Tiada dosa","C","Genesis 4:8"
1,"Apakah yang ditunjukkan oleh tanda pada Kain dalam Kejadian 4:15?","Belas kasihan Allah","Keadilan Allah","Kedua-duanya","Tiada makna","C","Genesis 4:15"
1,"Apakah yang ditunjukkan oleh kehidupan Nuh menurut Kejadian 6:9?","Iman dan ketaatan kepada Allah","Kekayaan Nuh","Kuasa manusia","Tiada makna","A","Genesis 6:9"
1,"Apakah yang ditunjukkan oleh banjir besar dalam Kejadian 7 menurut Westminster Larger Catechism?","Murka Allah terhadap dosa","Kuasa alam","Tiada makna","Kebaikan manusia","A","Genesis 7:17-23"
1,"Apakah yang ditunjukkan oleh perjanjian Allah dengan Abraham dalam Kejadian 17 menurut teologi Reformed?","Perjanjian anugerah","Kuasa manusia","Tiada perjanjian","Hukuman kepada Abraham","A","Genesis 17:7"
1,"Apakah yang ditunjukkan oleh pemberian nama Abraham dalam Kejadian 17:5?","Perjanjian baru","Kekayaan Abraham","Tiada makna","Hukuman Allah","A","Genesis 17:5"
1,"Apakah yang ditunjukkan oleh ketaatan Abraham dalam Kejadian 22 menurut Westminster Shorter Catechism?","Iman sejati","Kekayaan Abraham","Kuasa manusia","Tiada makna","A","Genesis 22:1-14"
1,"Apakah yang ditunjukkan oleh perjalanan Eliezer untuk mencari isteri bagi Ishak dalam Kejadian 24?","Penyelamatan Allah","Ketaatan Eliezer","Kedua-duanya","Tiada makna","C","Genesis 24:1-67"
1,"Apakah yang ditunjukkan oleh kelahiran Yakub dan Esaul dalam Kejadian 25:24-26?","Rancangan Allah","Kekayaan Ishak","Tiada makna","Hukuman kepada Rebekah","A","Genesis 25:24-26"
1,"Apakah yang ditunjukkan oleh perkahwinan Yakub dengan Lea dan Rakel dalam Kejadian 29?","Rancangan Allah","Dosa Yakub","Kedua-duanya","Tiada makna","C","Genesis 29:23-30"
1,"Apakah yang ditunjukkan oleh kelahiran Yusuf dalam Kejadian 30:24?","Keajaiban Allah","Kekayaan Yakub","Tiada makna","Hukuman kepada Rakel","A","Genesis 30:24"
1,"Apakah yang ditunjukkan oleh kehidupan Yusuf di Mesir dalam Kejadian 41 menurut Westminster Confession of Faith?","Penyelamatan Allah","Kekayaan Yusuf","Tiada makna","Hukuman kepada adik-beradiknya","A","Genesis 41:46-57"
1,"Apakah yang ditunjukkan oleh kematian Yakub dalam Kejadian 49:33?","Iman kepada janji Allah","Kekayaan Yakub","Tiada makna","Hukuman kepada Yakub","A","Genesis 49:33"
1,"Apakah yang ditunjukkan oleh kematian Yusuf dalam Kejadian 50:26?","Harapan kepada janji Allah","Kekayaan Yusuf","Tiada makna","Hukuman kepada Yusuf","A","Genesis 50:26"
1,"Apakah yang ditunjukkan oleh penciptaan manusia pada hari keenam dalam Kejadian 1:26-31 menurut Westminster Larger Catechism?","Manusia dicipta untuk memuliakan Allah","Manusia lebih mulia daripada Allah","Manusia tidak berdosa","Tiada makna","A","Genesis 1:26-31"
1,"Apakah yang ditunjukkan oleh peristiwa Sodom dan Gomora dalam Kejadian 19 menurut teologi Reformed?","Murka Allah terhadap dosa","Kuasa Abraham","Tiada makna","Kebaikan Lot","A","Genesis 19:24-25"
1,"Apakah yang ditunjukkan oleh perjumpaan Abraham dengan tiga orang asing dalam Kejadian 18?","Kedatangan Yesus","Kuasa Abraham","Kasih Allah kepada Sodom","Tiada makna","A","Genesis 18:1-2"
1,"Apakah yang ditunjukkan oleh pengusiran Hagar dan Ismael dalam Kejadian 21:14?","Rancangan Allah","Dosa Sara","Tiada makna","Hukuman kepada Hagar","A","Genesis 21:14"
1,"Apakah yang ditunjukkan oleh penamaan Betel oleh Yakub dalam Kejadian 28:19?","Kehadiran Allah","Kekayaan Yakub","Tiada makna","Hukuman kepada Yakub","A","Genesis 28:19"
1,"Apakah yang ditunjukkan oleh pemberian berkat Yakub kepada Efraim dan Manasye dalam Kejadian 48?","Rancangan Allah","Kekayaan Yusuf","Tiada makna","Hukuman kepada Efraim","A","Genesis 48:14-20"
1,"Apakah yang ditunjukkan oleh perjalanan keluarga Yakub ke Mesir dalam Kejadian 46?","Penyelamatan Allah","Kekayaan Yakub","Tiada makna","Hukuman kepada Yakub","A","Genesis 46:1-7"
1,"Apakah yang ditunjukkan oleh peristiwa Kain dan Abel dalam Kejadian 4 menurut Westminster Shorter Catechism?","Dosa iri hati","Kekurangan iman","Kedua-duanya","Tiada makna","C","Genesis 4:1-8"
1,"Apakah yang ditunjukkan oleh kehidupan Metusalah dalam Kejadian 5:27?","Umur panjang sebagai berkat","Kuasa manusia","Tiada makna","Hukuman kepada Metusalah","A","Genesis 5:27"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada binatang oleh Adam dalam Kejadian 2:19-20?","Kuasa yang diberikan Allah","Kekayaan Adam","Tiada makna","Hukuman kepada Adam","A","Genesis 2:19-20"
1,"Apakah yang ditunjukkan oleh peristiwa Menara Babel dalam Kejadian 11 menurut Westminster Larger Catechism?","Kebanggaan manusia","Kuasa Allah","Kedua-duanya","Tiada makna","C","Genesis 11:1-9"
1,"Apakah yang ditunjukkan oleh perjanjian Allah dengan Nuh dalam Kejadian 9 menurut Westminster Confession of Faith?","Allah setia pada janji-Nya","Kuasa Nuh","Tiada makna","Hukuman kepada Nuh","A","Genesis 9:12-17"
1,"Apakah yang ditunjukkan oleh pemberian nama Ishak dalam Kejadian 17:19?","Harapan kepada janji Allah","Kekayaan Abraham","Tiada makna","Hukuman kepada Sara","A","Genesis 17:19"
1,"Apakah yang ditunjukkan oleh peristiwa Abraham dan Abimelekh dalam Kejadian 20?","Dosa Abraham","Penyelamatan Allah","Kedua-duanya","Tiada makna","C","Genesis 20:1-18"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Esau dan Yakub dalam Kejadian 25:25-26?","Rancangan Allah","Kekayaan Ishak","Tiada makna","Hukuman kepada Rebekah","A","Genesis 25:25-26"
1,"Apakah yang ditunjukkan oleh perjalanan Yakub ke Haran dalam Kejadian 28?","Penyelamatan Allah","Dosa Yakub","Kedua-duanya","Tiada makna","C","Genesis 28:10-15"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Ruben dalam Kejadian 29:32?","Harapan Lea","Kekayaan Yakub","Tiada makna","Hukuman kepada Lea","A","Genesis 29:32"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Dan dalam Kejadian 30:6?","Harapan Bilhah","Kekayaan Yakub","Tiada makna","Hukuman kepada Bilhah","A","Genesis 30:6"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Gad dalam Kejadian 30:11?","Harapan Zilpa","Kekayaan Yakub","Tiada makna","Hukuman kepada Zilpa","A","Genesis 30:11"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Yusuf dalam Kejadian 30:24?","Harapan Rakel","Kekayaan Yakub","Tiada makna","Hukuman kepada Rakel","A","Genesis 30:24"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Benyamin dalam Kejadian 35:18?","Kesedihan Rakel","Kekayaan Yakub","Tiada makna","Hukuman kepada Rakel","A","Genesis 35:18"
1,"Apakah yang ditunjukkan oleh pemberian berkat Yakub kepada anak-anaknya dalam Kejadian 49?","Rancangan Allah","Kekayaan Yakub","Tiada makna","Hukuman kepada anak-anaknya","A","Genesis 49:1-28"
1,"Apakah yang ditunjukkan oleh perjalanan Yusuf ke Mesir dalam Kejadian 39?","Penyelamatan Allah","Kekayaan Yusuf","Tiada makna","Hukuman kepada Yusuf","A","Genesis 39:1-23"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Efraim dalam Kejadian 41:52?","Harapan Yusuf","Kekayaan Yusuf","Tiada makna","Hukuman kepada Yusuf","A","Genesis 41:52"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Manasye dalam Kejadian 41:51?","Harapan Yusuf","Kekayaan Yusuf","Tiada makna","Hukuman kepada Yusuf","A","Genesis 41:51"
1,"Apakah yang ditunjukkan oleh perjumpaan Yusuf dengan adik-beradiknya dalam Kejadian 45?","Penyelamatan Allah","Dosa adik-beradik","Kedua-duanya","Tiada makna","C","Genesis 45:1-15"
1,"Apakah yang ditunjukkan oleh pemberian tanah Gosyen kepada keluarga Yakub dalam Kejadian 47?","Penyelamatan Allah","Kekayaan Yusuf","Tiada makna","Hukuman kepada Yakub","A","Genesis 47:6"
1,"Apakah yang ditunjukkan oleh kematian Abraham dalam Kejadian 25:8?","Iman kepada janji Allah","Kekayaan Abraham","Tiada makna","Hukuman kepada Abraham","A","Genesis 25:8"
1,"Apakah yang ditunjukkan oleh kematian Sara dalam Kejadian 23:2?","Kesedihan Abraham","Kekayaan Abraham","Tiada makna","Hukuman kepada Sara","A","Genesis 23:2"
1,"Apakah yang ditunjukkan oleh kematian Ishak dalam Kejadian 35:29?","Iman kepada janji Allah","Kekayaan Ishak","Tiada makna","Hukuman kepada Ishak","A","Genesis 35:29"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Set dalam Kejadian 4:25?","Harapan Hawa","Kekayaan Adam","Tiada makna","Hukuman kepada Hawa","A","Genesis 4:25"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Nuh dalam Kejadian 5:29?","Harapan Lamekh","Kekayaan Lamekh","Tiada makna","Hukuman kepada Lamekh","A","Genesis 5:29"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Sem dalam Kejadian 9:18?","Harapan Nuh","Kekayaan Nuh","Tiada makna","Hukuman kepada Sem","A","Genesis 9:18"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Ham dalam Kejadian 9:18?","Harapan Nuh","Kekayaan Nuh","Tiada makna","Hukuman kepada Ham","A","Genesis 9:18"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Yafet dalam Kejadian 9:18?","Harapan Nuh","Kekayaan Nuh","Tiada makna","Hukuman kepada Yafet","A","Genesis 9:18"